"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"This user no longer exists.","ಈ ಬಳಕೆದಾರರು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"Time","ಸಮಯ"
"To","ಗೆ"
"Tools","ಉಪಕರಣಗಳು"
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Track this shipment","ಈ ರವಾನೆಯನ್ನು ಟ್ರಾಕ್ ಮಾಡಿ"
"Transaction Data","ವ್ಯವಹಾರದ ದತ್ತಾಂಶ"
"Transaction Details","ವ್ಯವಹಾರದ ವಿವರಗಳು"
"Transaction ID","ವಹಿವಾಟಿನ ID"
"Transaction Type","ವಹಿವಾಟಿನ ವಿಧ"
"Transactional Emails","ವ್ಯಾವಹಾರಿಕ ಮಿಂಚೆಗಳು"
"Transactions","ವಹಿವಾಟುಗಳು"
"Type","ವಿಧ"
"Type:","ವಿಧ:"
"Unknown","ಅಜ್ಞಾತ"
"Unlimited","ಅಪರಿಮಿತ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Updated At","ಪರಿಷ್ಕರಿಸಿದ ದಿನಾಂಕ"
"Upload File","ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
"Upload Files","ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
"Use Default","ನಿಯೋಜಿತವಾದುದನ್ನು ಬಳಸಿ"
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"Use FTP Connection","FTP ಸಂಪರ್ಕ ಬಳಸಿ"
"Use Website","ಜಾಲತಾಣ ಬಳಸಿ"
"User Email","ಬಳಕೆದಾರರ ಮಿಂಚೆ"
"User ID","ಬಳಕೆದಾರರ ID"
"User Info","ಬಳಕೆದಾರರ ಮಾಹಿತಿ"
"User Information","ಬಳಕೆದಾರರ ಮಾಹಿತಿ"
"User Name","ಬಳಕೆದಾರರ ಹೆಸರು"
"User Password","ಬಳಕೆದಾರರ ಗುಪ್ತಪದ"
"User Role","ಬಳಕೆದಾರರ ಹುದ್ದೆ"
"User Roles","ಬಳಕೆದಾರರ ಹುದ್ದೆಗಳು"
"User Roles Information","ಬಳಕೆದಾರರ ಹುದ್ದೆಯ ಮಾಹಿತಿ"
"Users","ಬಳಕೆದಾರರು"
"Value","ಮೌಲ್ಯ"
"View Full Size","ಪೂರ್ಣ ಗಾತ್ರದಲ್ಲಿ ವೀಕ್ಷಿಸಿ"
"Warning","ಎಚ್ಚರಿಕೆ"
"Web Section","ಜಾಲತಾಣ ವಿಭಾಗ"
"Website","ಜಾಲ ತಾಣ"
"What is this?","ಇದು ಏನು?"
"Year","ವರ್ಷ"
"Yes","ಹೌದು"
"Yes (only price with tax)","ಹೌದು (ದರ ತೆರಿಗೆ ಸಹಿತ)"
"You cannot delete your own account.","ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಖಾತೆಯನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You have logged out.","ನೀವು ಸೈನ್ ಔಟ್ ಆಗಿದ್ದೀರಿ."
"Your password reset link has expired.","ನಿಮ್ಮ ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಕೊಂಡಿಯ ಅವಧಿಯ ಅಂತ್ಯವಾಗಿದೆ."
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"close","ಮುಚ್ಚಿರಿ"
"critical","ಸಂದಿಗ್ಧ"
"example: sitemap.xml","ಉದಾಹರಣೆ: sitemap.xml"
"failed","ವಿಫಲಗೊಂಡಿದೆ"
"from","ಇಂದ"
"major","ಪ್ರಮುಖ"
"minor","ಕಿರಿಯ"
"notice","ನೋಟೀಸು"
"successful","ಯಶಸ್ವಿಯಾಗಿದೆ"
"to","ಗೆ"
